Word,Documents (With Count)
universitários,"[(243, 4)]"
salários,"[(10, 1), (19, 1), (80, 3), (113, 1), (124, 1), (158, 1), (179, 1), (249, 1), (505, 3), (519, 1), (548, 1)]"
inimigo,"[(137, 1), (162, 1), (171, 1), (238, 1), (379, 1), (397, 1), (542, 1), (627, 2)]"
strike,"[(153, 1)]"
reformular,"[(229, 1)]"
páreo,"[(597, 1)]"
lanche,"[(55, 1), (249, 1)]"
paralisação,"[(166, 2), (229, 2)]"
explosão,"[(17, 1), (93, 1), (345, 1)]"
biombo,"[(354, 1)]"
funciona,"[(102, 2), (137, 1), (138, 1), (153, 1), (214, 1), (252, 1), (433, 1), (525, 1), (608, 1)]"
posteriormente,"[(34, 1), (60, 1), (96, 1), (146, 1), (229, 1), (289, 2), (323, 1), (368, 1), (540, 1)]"
simplórias,"[(545, 1)]"
encheu,"[(278, 1)]"
funcione,"[(19, 1)]"
ufsm,"[(457, 1)]"
celeridade,"[(57, 1), (407, 1)]"
analisava,"[(28, 1)]"
conservador,"[(57, 1), (63, 1), (289, 1), (294, 1), (501, 1), (544, 1), (635, 1)]"
interamericana,"[(192, 3), (448, 1), (603, 1), (627, 4)]"
riram,"[(362, 1), (478, 1)]"
valorizado,"[(122, 1)]"
radioativos,"[(572, 4)]"
abono,"[(113, 1), (195, 1), (210, 1)]"
polícia,"[(25, 5), (37, 2), (52, 1), (55, 7), (66, 1), (99, 2), (113, 1), (119, 3), (132, 2), (134, 1), (137, 1), (146, 1), (167, 1), (179, 1), (227, 3), (229, 2), (243, 1), (270, 1), (277, 1), (340, 3), (345, 1), (367, 1), (368, 1), (372, 1), (407, 3), (448, 1), (457, 5), (466, 1), (477, 8), (484, 1), (520, 1), (525, 4), (561, 1), (573, 2), (577, 2), (581, 1), (603, 3), (627, 5), (628, 1)]"
narrava,"[(594, 1)]"
destruiu,"[(270, 2), (308, 1)]"
necessárias,"[(55, 1), (525, 1), (552, 1)]"
caravanas,"[(52, 1), (457, 1)]"
relac,"[(27, 7)]"
aconteceria,"[(158, 1)]"
destruir,"[(37, 1), (57, 1), (146, 1), (162, 1), (195, 2), (361, 1), (552, 1), (596, 2), (635, 1)]"
trouxer,"[(289, 1)]"
sócio-proprietário,"[(76, 1)]"
inverte,"[(223, 1)]"
contouligou,"[(136, 1)]"
rusia,"[(286, 1)]"
kotscho,"[(631, 1)]"
atrapalhou,"[(70, 1)]"
conformará,"[(560, 1)]"
suportando,"[(297, 1)]"
baluarte,"[(545, 1)]"
temas,"[(17, 2), (52, 1), (57, 1), (128, 1), (130, 1), (212, 1), (249, 1), (283, 1), (297, 1), (309, 1), (322, 1), (372, 1), (393, 1), (403, 1), (465, 1), (508, 1), (543, 1), (582, 1)]"
carioca,"[(10, 1), (127, 1), (160, 1), (238, 1), (410, 1), (442, 1), (483, 2), (592, 1), (630, 1)]"
prosur,"[(537, 1)]"
melodias,"[(68, 1)]"
suspeitos,"[(192, 1), (255, 1), (306, 2), (367, 1), (407, 1), (531, 1)]"
chulas,"[(72, 1)]"
subjetivamente,"[(256, 1)]"
blogdonoblat,"[(310, 1)]"
burgueses,"[(404, 1)]"
desuso,"[(433, 1)]"
salvamento,"[(113, 2)]"
atingia,"[(96, 1)]"
adquiriu,"[(163, 1), (224, 1), (294, 1)]"
surpreenda,"[(586, 1)]"
adquirir,"[(488, 1)]"
surpreende,"[(121, 1), (223, 2), (433, 1)]"
procuradores,"[(105, 1), (130, 5), (133, 1), (223, 1), (224, 1), (266, 8), (445, 1), (480, 3)]"
sosnicaragua,"[(286, 1)]"
escudos,"[(433, 1)]"
assustada,"[(360, 1)]"
colombianos,"[(263, 1), (604, 1)]"
empreendedores,"[(525, 1)]"
categórico,"[(555, 1)]"
indicaria,"[(13, 1)]"
encarregou,"[(279, 1)]"
financeiros,"[(27, 1), (60, 1), (130, 1), (158, 1), (302, 1)]"
jurgas,"[(573, 1)]"
absoluta,"[(34, 1), (62, 2), (162, 1), (166, 1), (172, 1), (223, 1), (252, 1), (294, 1)]"
paoladratelesur,"[(77, 1)]"
parisiense,"[(146, 1)]"
raphaelplay,"[(616, 1)]"
aceitos,"[(545, 1)]"
chamam-nos,"[(112, 1)]"
aceitou,"[(13, 1), (224, 1)]"
emocionado,"[(60, 1), (133, 1), (278, 1)]"
montado,"[(130, 1), (219, 1)]"
lutfalla,"[(171, 1)]"
derrubadas,"[(289, 1)]"
feature,"[(78, 1)]"
percorreram,"[(167, 1)]"
how,"[(12, 1)]"
agredindo,"[(471, 1)]"
mediante,"[(19, 1), (61, 1), (306, 1), (424, 2), (623, 1)]"
moradia,"[(492, 1), (586, 1)]"
calados,"[(1, 1)]"
mbl,"[(331, 1)]"
sésamo,"[(130, 1)]"
anunciava,"[(345, 1)]"
afazeres,"[(373, 1)]"
�sbica,"[(27, 1)]"
desembarcarem,"[(119, 1)]"
hoy,"[(280, 1), (514, 1)]"
seguro,"[(105, 1), (128, 1), (172, 1), (195, 1), (288, 1), (627, 1)]"
pensarem,"[(327, 1)]"
restabelecimento,"[(62, 1), (223, 1), (525, 1)]"
balada,"[(549, 1)]"
prostitutas,"[(243, 1)]"
preferia,"[(68, 1)]"
mucama,"[(373, 1)]"
decente,"[(519, 1)]"
portadoras,"[(17, 1)]"
assegurados,"[(61, 1)]"
sede,"[(25, 1), (37, 2), (52, 1), (82, 1), (146, 1), (192, 1), (223, 1), (238, 1), (248, 1), (276, 1), (358, 1), (370, 1), (480, 1), (525, 1), (534, 1), (579, 1)]"
possui,"[(208, 1), (289, 4), (331, 1), (338, 1), (471, 1), (555, 1), (577, 1), (585, 1)]"
preferiu,"[(10, 1), (103, 1), (294, 1), (346, 1), (406, 1)]"
revelia,"[(345, 1), (430, 1), (586, 1)]"
renová-la,"[(102, 1)]"
possua,"[(17, 1)]"
plumagem,"[(368, 1)]"
cobrador,"[(249, 1)]"
sentiu,"[(30, 1), (82, 1), (294, 1), (306, 1), (581, 1)]"
arrancou,"[(10, 1)]"
retuitadas,"[(289, 1)]"
acaba,"[(126, 1), (174, 1), (185, 1), (465, 2), (470, 1)]"
deutsche,"[(146, 5)]"
aliam,"[(582, 1)]"
irara,"[(526, 1)]"
única,"[(17, 1), (57, 1), (62, 1), (114, 1), (118, 1), (124, 1), (126, 1), (137, 1), (138, 1), (145, 1), (147, 1), (163, 1), (166, 1), (194, 2), (200, 1), (207, 1), (229, 1), (256, 1), (264, 1), (278, 1), (289, 1), (294, 1), (384, 1), (519, 1), (525, 1), (542, 1), (568, 1), (576, 1), (590, 2), (627, 3)]"
caviar,"[(459, 1)]"
malfadada,"[(56, 1), (579, 1)]"
enviem,"[(519, 1)]"
acabo,"[(63, 1)]"
extrapolar,"[(55, 1)]"
atingiu,"[(57, 1), (160, 1), (179, 1), (270, 1)]"
falasse,"[(27, 1), (165, 1), (577, 1)]"
único,"[(13, 2), (51, 1), (55, 1), (57, 1), (61, 3), (80, 1), (102, 1), (103, 1), (108, 1), (138, 1), (158, 1), (174, 1), (179, 1), (195, 1), (210, 1), (217, 1), (288, 1), (302, 1), (315, 1), (319, 1), (365, 1), (404, 1), (496, 1), (519, 1), (555, 1)]"
artistas,"[(48, 1), (55, 2), (174, 2), (236, 1), (278, 2), (292, 1), (460, 1), (583, 1), (600, 1)]"
arrecadar,"[(182, 1), (229, 1)]"
realidade,"[(11, 1), (30, 1), (34, 1), (55, 1), (58, 3), (91, 1), (162, 1), (166, 1), (174, 1), (192, 1), (195, 1), (207, 1), (237, 2), (273, 1), (291, 2), (297, 1), (365, 1), (548, 1), (559, 1), (582, 1)]"
péssima,"[(137, 2), (177, 1)]"
peregrinação,"[(194, 1)]"
promulgada,"[(192, 1)]"
delatavam,"[(239, 1)]"
propuseram-me,"[(27, 1)]"
equilíbrio,"[(127, 3), (264, 1)]"
prontamente,"[(289, 1), (300, 1)]"
assina,"[(133, 1), (289, 1), (566, 1)]"
salarial,"[(113, 2), (127, 1), (179, 1), (195, 1), (210, 1), (562, 1)]"
combatendo,"[(111, 1), (189, 1), (220, 1), (606, 1)]"
infraestrutura,"[(268, 1), (283, 1)]"
apoiados,"[(243, 1)]"
inocente,"[(483, 1), (577, 2), (635, 1)]"
vara,"[(33, 1), (56, 1), (62, 1), (72, 1), (76, 1), (103, 1), (132, 1), (236, 1), (398, 1), (430, 1), (466, 1), (560, 1)]"
virgem,"[(615, 1)]"
costumar,"[(458, 1)]"
otavio,"[(102, 1)]"
vendas,"[(160, 1)]"
demite,"[(315, 1)]"
reitera,"[(121, 1)]"
sem-número,"[(217, 1)]"
demonstrando,"[(166, 1), (291, 1), (483, 1)]"
incontestável,"[(632, 1)]"
socialite-diretora,"[(433, 1)]"
proteína,"[(98, 1)]"
seriedade,"[(34, 1), (287, 1), (319, 1), (409, 1), (445, 1), (582, 1)]"
