Word,Documents (With Count)
discriminatória,"[(531, 1)]"
paisagens,"[(17, 1)]"
controversas,"[(403, 1)]"
criminosas,"[(130, 1), (137, 2), (367, 1), (519, 2), (603, 2)]"
pacotes,"[(122, 1)]"
linke,"[(146, 1)]"
desonesta,"[(378, 1), (397, 1)]"
aparelha,"[(448, 1)]"
jogadas,"[(373, 1)]"
espírito,"[(57, 1), (63, 1), (486, 1)]"
identificada,"[(82, 1)]"
circulam,"[(126, 1), (442, 1), (466, 1)]"
boêmio,"[(108, 1)]"
gosto,"[(71, 2), (174, 2), (603, 1)]"
casado,"[(460, 1), (546, 1)]"
querida,"[(25, 1), (384, 1)]"
multidões,"[(102, 1), (171, 1), (248, 1)]"
sentimento,"[(102, 1), (237, 1), (480, 1), (488, 1), (572, 1)]"
goste,"[(122, 1)]"
casada,"[(59, 1), (460, 1), (593, 1)]"
convívio,"[(30, 1), (112, 1), (124, 1), (496, 1), (568, 5)]"
estenderem,"[(207, 1)]"
compõem,"[(104, 1), (273, 1), (376, 1)]"
desastrosos,"[(572, 1)]"
agregue,"[(134, 1)]"
alargando,"[(608, 1)]"
maranhãosonia,"[(285, 1)]"
tolerantes,"[(465, 1), (470, 1)]"
gritos,"[(108, 1), (291, 1), (298, 1), (360, 1)]"
reduzimos,"[(237, 1)]"
ferdinand,"[(96, 2)]"
fã-clubes,"[(460, 1)]"
voando,"[(465, 1)]"
leilões,"[(108, 2), (229, 1)]"
gritou,"[(238, 1), (480, 1)]"
circular,"[(174, 1)]"
pink,"[(233, 1)]"
amadorístico,"[(134, 1)]"
proporcionais,"[(61, 1)]"
viemos,"[(407, 1), (471, 1)]"
deixem-nos,"[(465, 1), (470, 1)]"
farm,"[(76, 1)]"
assessoria,"[(76, 1), (249, 1), (294, 1), (295, 1), (319, 1), (390, 1), (437, 1), (448, 2), (457, 2), (506, 1), (518, 1), (540, 1)]"
querelante,"[(33, 2)]"
últimos,"[(17, 2), (30, 2), (37, 1), (57, 3), (62, 1), (64, 1), (68, 1), (103, 1), (123, 1), (127, 2), (162, 1), (174, 1), (185, 1), (214, 1), (295, 1), (304, 1), (323, 1), (359, 1), (367, 1), (379, 1), (407, 1), (442, 1), (480, 1), (516, 1), (520, 1), (545, 1), (551, 1), (579, 1), (585, 1)]"
desprezada,"[(635, 1)]"
seguidor-mor,"[(297, 1)]"
imagine,"[(126, 1), (232, 1), (301, 1), (534, 1), (573, 1)]"
obrigadas,"[(25, 1)]"
caindo,"[(60, 1), (147, 1), (177, 1), (294, 1)]"
sacrifício,"[(260, 1), (294, 1), (442, 1), (502, 1), (505, 1), (530, 1), (602, 1)]"
irem,"[(98, 1)]"
boicote,"[(365, 1), (514, 1)]"
inexperiência,"[(376, 1)]"
viralização,"[(433, 1)]"
ressurgiram,"[(577, 1)]"
culpabilizada,"[(27, 1)]"
intervir,"[(212, 1), (283, 1), (471, 1), (544, 1)]"
inexplicável,"[(145, 1), (297, 1)]"
escada,"[(361, 1), (478, 1)]"
teclado,"[(597, 1)]"
ller,"[(34, 1), (102, 2), (302, 1)]"
encarcerado,"[(368, 1)]"
ex-procurador,"[(288, 1)]"
soturno,"[(124, 1), (295, 1)]"
ranço,"[(559, 1)]"
declarando,"[(339, 1)]"
duterte,"[(304, 1)]"
querendo,"[(33, 1), (124, 1), (137, 1), (194, 1), (239, 1), (397, 1)]"
desesperança,"[(519, 1)]"
acamparam,"[(25, 1)]"
claire,"[(289, 1)]"
chamas,"[(270, 2), (623, 1)]"
corregedoria,"[(55, 2)]"
culpado,"[(327, 1), (466, 1)]"
agenda,"[(17, 1), (52, 1), (113, 2), (212, 1), (214, 1), (256, 1), (376, 2), (525, 2), (552, 1), (603, 1), (611, 1), (627, 1)]"
pós,"[(545, 2)]"
alegações,"[(105, 1), (192, 1), (424, 2), (513, 1)]"
envelhecendo,"[(249, 1)]"
comprova,"[(252, 1), (294, 1), (577, 1)]"
homicídios,"[(25, 1), (345, 3), (465, 4), (520, 1)]"
pousada,"[(593, 1)]"
comprove,"[(137, 1)]"
interessarão,"[(162, 1)]"
predominantemente,"[(552, 1), (632, 1)]"
presidentes,"[(17, 2), (27, 1), (50, 1), (61, 1), (153, 1), (174, 1), (214, 1), (379, 1), (514, 1), (525, 2), (535, 1), (545, 1), (548, 1), (585, 2)]"
carrega,"[(165, 1)]"
bolsoneas,"[(577, 1)]"
elegeram,"[(34, 1), (207, 1), (519, 1)]"
pedras,"[(406, 2), (457, 3)]"
perpetraram,"[(179, 1)]"
saias,"[(586, 1), (611, 1)]"
costuma,"[(93, 1), (289, 1)]"
including,"[(15, 1)]"
descafeinada,"[(433, 1)]"
egresso,"[(379, 1)]"
matérias,"[(48, 2), (57, 1), (61, 1), (99, 1), (289, 1), (345, 1), (376, 1), (572, 1), (593, 1)]"
lados,"[(174, 2), (339, 1), (488, 1)]"
espera-se,"[(72, 1), (147, 1), (177, 1), (304, 1)]"
costumo,"[(55, 2), (82, 1), (133, 1), (594, 1)]"
programática,"[(138, 1)]"
fetraf,"[(119, 1)]"
incentivados,"[(167, 1)]"
desejam,"[(147, 1), (365, 1), (573, 1)]"
obrigação,"[(62, 1), (149, 1), (192, 1), (457, 1), (525, 1)]"
temporal,"[(17, 1)]"
genebra,"[(37, 3), (146, 2), (192, 1)]"
autoritária,"[(122, 1)]"
unilaterais,"[(122, 2)]"
manifestou,"[(76, 1), (119, 1), (397, 1), (514, 1), (553, 1)]"
panarás,"[(179, 1)]"
dória,"[(372, 1), (457, 1)]"
unegro,"[(448, 1)]"
desejar,"[(63, 1), (300, 1), (465, 1), (470, 1)]"
carcada,"[(289, 1)]"
opções,"[(122, 1), (158, 1), (210, 1), (596, 1)]"
madri,"[(37, 2), (146, 2)]"
truculência,"[(248, 1)]"
ameaças,"[(17, 1), (103, 1), (182, 1), (208, 1), (235, 2), (243, 2), (264, 1), (304, 1), (367, 1), (393, 1), (407, 1), (508, 1), (534, 1), (543, 1), (561, 1), (577, 4), (596, 1), (603, 2), (611, 1), (627, 16)]"
ameaçar,"[(25, 1), (327, 1), (478, 1), (488, 1), (603, 1), (622, 1)]"
brasile,"[(146, 1)]"
selecionam,"[(122, 1)]"
auto,"[(264, 1), (358, 1)]"
tarja,"[(417, 1)]"
revoltado,"[(600, 1)]"
crÉdito,"[(294, 1)]"
abreu,"[(108, 2), (219, 1), (479, 1)]"
deixaremos,"[(447, 1)]"
bio,"[(289, 1)]"
confidenciaram,"[(550, 1)]"
front,"[(146, 1)]"
simultaneamente,"[(61, 1)]"
falcão,"[(69, 1), (455, 1)]"
raça,"[(68, 1), (121, 1), (174, 1), (236, 1), (483, 4), (559, 1), (562, 1)]"
facilidade,"[(96, 1), (596, 1)]"
sugeridos,"[(160, 1)]"
fundamentalmente,"[(62, 1)]"
desastre,"[(19, 1), (98, 1), (128, 1), (145, 2), (194, 1), (419, 1), (514, 1), (544, 1)]"
talentos,"[(160, 1), (403, 1), (418, 1), (488, 1)]"
senhor,"[(133, 1), (174, 1), (282, 2), (291, 1), (319, 1), (340, 1), (553, 1), (632, 1)]"
discordo,"[(249, 1)]"
indignada,"[(114, 1)]"
university,"[(146, 1), (243, 1)]"
reversão,"[(62, 1)]"
afastamento,"[(179, 2), (235, 1), (375, 1), (525, 1)]"
pertencerem,"[(153, 1)]"
moda,"[(61, 1), (76, 3), (163, 1), (259, 1), (404, 1), (433, 1), (613, 1)]"
ex-ministro-chefe,"[(276, 1)]"
donde,"[(280, 1)]"
vern,"[(624, 1)]"
solicitações,"[(130, 1)]"
fornecer,"[(130, 1), (407, 1)]"
todavia,"[(61, 1), (162, 1), (198, 1)]"
avocar,"[(217, 1)]"
modo,"[(102, 1), (114, 1), (121, 1), (160, 1), (162, 1), (201, 1), (212, 2), (223, 1), (252, 1), (277, 1), (283, 1), (285, 1), (419, 1), (471, 1), (520, 1), (568, 2), (572, 2)]"
globo,"[(13, 3), (58, 2), (59, 1), (60, 1), (70, 3), (127, 1), (163, 2), (200, 1), (201, 8), (219, 2), (234, 1), (255, 2), (269, 1), (277, 1), (279, 1), (289, 1), (291, 5), (295, 2), (306, 8), (307, 3), (322, 1), (323, 2), (332, 1), (336, 2), (343, 1), (355, 7), (362, 4), (375, 2), (397, 1), (399, 1), (403, 2), (410, 1), (415, 1), (417, 2), (421, 4), (437, 1), (443, 1), (449, 2), (452, 1), (506, 2), (508, 1), (554, 2), (560, 1), (567, 1), (569, 1), (576, 1), (579, 1), (581, 1), (594, 1), (599, 2), (600, 1), (615, 2), (628, 1), (630, 3), (631, 1), (635, 1)]"
coringão,"[(171, 1)]"
finais,"[(123, 1), (430, 1)]"
abatido,"[(266, 1), (308, 1), (437, 1), (627, 1)]"
genuinamente,"[(130, 1)]"
violaram,"[(51, 1)]"
mortos,"[(17, 1), (82, 2), (119, 1), (171, 1), (174, 1), (192, 1), (236, 2), (243, 2), (260, 1), (324, 5), (338, 2), (345, 1), (448, 1), (477, 3)]"
catapultada,"[(534, 1)]"
brasileiros,"[(17, 2), (27, 6), (37, 2), (46, 1), (51, 1), (55, 1), (82, 2), (114, 1), (127, 1), (130, 6), (145, 2), (158, 1), (167, 2), (171, 3), (194, 3), (195, 2), (208, 1), (210, 4), (236, 4), (243, 3), (248, 1), (260, 1), (266, 1), (276, 2), (288, 2), (289, 1), (294, 5), (300, 1), (320, 1), (345, 1), (380, 1), (404, 1), (427, 1), (429, 1), (430, 2), (465, 1), (470, 1), (525, 1), (545, 1), (551, 2), (572, 1), (586, 2), (597, 1), (602, 1), (603, 2), (609, 1), (627, 1)]"
contratarão,"[(126, 1)]"
afps,"[(149, 1)]"
joyce,"[(292, 1), (297, 1)]"
foragido,"[(25, 1), (121, 1), (406, 1)]"
dcta,"[(572, 1)]"
disfarçada,"[(384, 1), (483, 1)]"
deixarem,"[(525, 1), (613, 1)]"
agrava,"[(208, 1), (289, 1), (486, 1)]"
repressão,"[(55, 1), (61, 1), (82, 3), (171, 2), (179, 1), (223, 1), (243, 1), (248, 1), (256, 1), (260, 1), (345, 1), (573, 1)]"
democracia,"[(27, 6), (37, 2), (51, 4), (52, 1), (63, 1), (64, 1), (102, 3), (108, 2), (122, 1), (133, 1), (145, 1), (146, 4), (153, 1), (171, 6), (174, 1), (223, 2), (236, 1), (248, 3), (249, 1), (251, 1), (252, 2), (260, 2), (276, 1), (280, 1), (289, 1), (365, 5), (367, 1), (406, 1), (429, 1), (442, 1), (445, 1), (471, 1), (484, 1), (501, 1), (514, 1), (519, 1), (525, 1), (526, 2), (534, 1), (545, 1), (572, 3), (573, 8), (584, 3), (603, 1), (608, 1), (627, 4)]"
investigativa,"[(407, 1)]"
incendiária,"[(17, 1)]"
investigativo,"[(82, 1), (445, 1), (577, 1)]"
aparições,"[(57, 1)]"
concorrência,"[(158, 1), (579, 1)]"
agravo,"[(451, 1)]"
esmagadores,"[(573, 1)]"
special,"[(12, 1)]"
guilherme,"[(60, 1), (285, 1), (457, 1), (458, 1), (519, 1), (534, 2), (577, 1)]"
abrandamento,"[(17, 1)]"
sofreram,"[(48, 1), (171, 4), (179, 1), (192, 1)]"
indesejável,"[(465, 1), (470, 1)]"
termina,"[(147, 1), (167, 1), (477, 1), (526, 1)]"
substituirá,"[(319, 1), (526, 1)]"
moré,"[(362, 1)]"
despertou,"[(130, 1), (158, 1), (577, 1)]"
anuais,"[(128, 1)]"
ferimentos,"[(219, 1)]"
espalhados,"[(17, 1), (82, 1)]"
nomear,"[(166, 1), (207, 1), (297, 1)]"
szabó,"[(66, 1), (132, 2), (212, 1)]"
laurentino,"[(367, 1)]"
may,"[(448, 1)]"
comeria,"[(252, 1)]"
ampliou,"[(135, 1)]"
divulgamos,"[(289, 1)]"
causa,"[(15, 1), (19, 1), (55, 1), (103, 1), (158, 2), (162, 1), (167, 1), (193, 1), (219, 1), (229, 1), (252, 1), (273, 3), (283, 1), (288, 1), (289, 2), (308, 1), (345, 1), (360, 1), (368, 1), (398, 1), (400, 1), (407, 4), (424, 1), (430, 1), (433, 1), (458, 1), (477, 1), (513, 1), (514, 1), (525, 3), (534, 1), (555, 1), (600, 1), (627, 4), (633, 1)]"
memes,"[(97, 1), (158, 1), (480, 1), (489, 1), (577, 1), (633, 1)]"
buzyn,"[(27, 1)]"
cause,"[(360, 1)]"
aposse,"[(309, 1)]"
organizadoras,"[(37, 1)]"
potosí,"[(17, 1)]"
veneradores,"[(17, 1)]"
mitiê,"[(559, 2)]"
moralidade,"[(340, 1), (380, 1)]"
piadas,"[(289, 2)]"
eca,"[(531, 1), (566, 6)]"
originaram,"[(193, 1)]"
alívio,"[(13, 1)]"
tercera,"[(548, 1)]"
licenças-maternidade,"[(322, 1)]"
prestigiar,"[(525, 1)]"
defensora,"[(429, 1)]"
grandioso,"[(519, 1)]"
segredo,"[(82, 2), (137, 1), (368, 1), (430, 3), (460, 2), (525, 1), (560, 1)]"
desistam,"[(48, 1)]"
empurra,"[(340, 1), (404, 1)]"
negros,"[(33, 2), (174, 1), (243, 1), (251, 3), (285, 1), (338, 1), (433, 4), (448, 2), (471, 2), (483, 1), (559, 1), (627, 1)]"
protegemos,"[(573, 1)]"
orgulhosos,"[(268, 1)]"
cobrava,"[(525, 2)]"
décadas,"[(48, 1), (68, 1), (96, 1), (98, 1), (108, 1), (127, 1), (166, 1), (167, 1), (179, 1), (185, 1), (207, 1), (264, 1), (427, 1), (433, 1), (445, 1), (545, 3), (551, 1), (559, 1), (579, 1), (632, 1)]"
tramitou,"[(62, 1)]"
lancei,"[(55, 5), (631, 1)]"
mesquinhos,"[(519, 1)]"
ceert,"[(448, 1), (566, 1)]"
narrado,"[(10, 1)]"
junho,"[(25, 1), (113, 2), (301, 1), (302, 1), (345, 1), (525, 1), (593, 1)]"
senadorquintana,"[(514, 1)]"
guardavam,"[(289, 1)]"
narrada,"[(37, 1)]"
equipamentos,"[(55, 2), (103, 1), (568, 2)]"
obedecer,"[(613, 1)]"
sch�,"[(378, 1)]"
times,"[(127, 5), (336, 1)]"
tenebrosos,"[(542, 1)]"
pistoleiro,"[(229, 6)]"
telespectador,"[(306, 3), (307, 1), (322, 1), (516, 1)]"
empregando,"[(17, 1)]"
lutou,"[(25, 1), (359, 1), (525, 1)]"
desconstitucionalização,"[(339, 1)]"
lances,"[(108, 2)]"
oferecidas,"[(122, 1)]"
danos,"[(123, 1), (266, 1), (361, 1), (480, 1), (568, 3)]"
contrariava,"[(560, 1)]"
cheiro,"[(316, 1), (478, 2), (526, 1)]"
indesejáveis,"[(454, 1), (531, 1)]"
preço,"[(30, 1), (108, 3), (118, 1), (126, 1), (162, 1), (182, 1), (252, 2), (282, 1), (367, 1), (445, 1), (502, 1), (555, 1), (579, 1)]"
abandonados,"[(602, 1)]"
confuso,"[(138, 1), (239, 1)]"
confusa,"[(27, 1)]"
psiquiatras,"[(118, 1)]"
constataram,"[(10, 1), (76, 2), (457, 1), (518, 1)]"
contemporânea,"[(64, 1), (76, 1)]"
segurava,"[(478, 1)]"
convido-os,"[(223, 1)]"
mea,"[(551, 1)]"
puc-mg,"[(577, 1)]"
penha,"[(55, 2)]"
matysiak,"[(451, 1), (530, 1)]"
interceptado,"[(56, 1)]"
aliança,"[(36, 1), (103, 1), (167, 1), (289, 1), (437, 2), (448, 1)]"
hardeman,"[(123, 3)]"
amarradas,"[(25, 1), (119, 1), (297, 1)]"
seidel,"[(207, 1)]"
turcos,"[(572, 2)]"
lidam,"[(568, 1)]"
capitÃo,"[(61, 1)]"
acima,"[(17, 1), (19, 1), (46, 1), (51, 1), (102, 1), (108, 1), (172, 1), (174, 1), (179, 1), (200, 1), (210, 1), (223, 2), (249, 1), (289, 1), (345, 2), (355, 1), (370, 2), (424, 1), (477, 1), (478, 1), (525, 4), (545, 1), (551, 2), (613, 1)]"
prévias,"[(431, 1)]"
insistindo,"[(34, 1), (597, 1)]"
apoiem,"[(545, 1)]"
stefanie,"[(378, 1)]"
banido,"[(123, 1)]"
drogas,"[(25, 2), (55, 4), (132, 1), (249, 1), (302, 1), (345, 1), (444, 1), (516, 1), (568, 2)]"
herdeiro,"[(99, 1)]"
legislativas,"[(61, 1), (99, 1), (308, 1), (376, 1)]"
dessas,"[(62, 3), (134, 1), (171, 1), (172, 1), (289, 2), (297, 1), (390, 1), (433, 1), (525, 1), (566, 1), (627, 1)]"
confessar,"[(354, 2)]"
martín,"[(585, 1)]"
conheciam,"[(55, 1)]"
banque,"[(210, 1)]"
final,"[(30, 1), (33, 1), (61, 1), (108, 1), (114, 1), (119, 1), (124, 1), (130, 1), (133, 2), (185, 1), (193, 2), (194, 1), (198, 1), (229, 4), (243, 1), (252, 1), (270, 1), (277, 1), (294, 1), (304, 1), (327, 1), (331, 1), (346, 3), (367, 1), (368, 1), (373, 1), (403, 1), (430, 1), (523, 1), (531, 1), (566, 1), (632, 1)]"
herdeira,"[(51, 1), (573, 1)]"
extensão,"[(121, 1)]"
possibilitou,"[(37, 1), (99, 1)]"
analítico,"[(208, 1)]"
tratava,"[(103, 1), (289, 1), (460, 1), (560, 1), (566, 1), (627, 1)]"
moldaram,"[(602, 1)]"
maluquinho,"[(397, 1)]"
mariana,"[(322, 2), (465, 1), (471, 1), (519, 1)]"
viktor,"[(27, 1)]"
mariano,"[(398, 1)]"
vossa,"[(185, 1)]"
pretas,"[(292, 1), (433, 2), (448, 1), (477, 1), (534, 1)]"
mariani,"[(72, 1)]"
britânico,"[(95, 1), (297, 1), (583, 1), (592, 1)]"
sobreviverá,"[(214, 1)]"
dissonante,"[(448, 1), (593, 1)]"
decreta,"[(424, 1)]"
secco,"[(332, 1)]"
agiotagem,"[(294, 1), (406, 1)]"
lista,"[(76, 12), (96, 2), (114, 1), (118, 2), (146, 1), (219, 1), (289, 1), (370, 1), (448, 1), (523, 2), (526, 1), (573, 2)]"
enviada,"[(76, 2), (214, 1), (223, 1), (288, 1), (289, 2), (581, 1)]"
ben,"[(168, 1)]"
johnson,"[(207, 1)]"
ineficiente,"[(345, 1)]"
bem,"[(17, 1), (27, 2), (34, 2), (51, 1), (55, 4), (57, 1), (61, 4), (71, 1), (76, 1), (96, 1), (98, 1), (102, 1), (104, 1), (108, 2), (137, 1), (138, 1), (158, 3), (167, 1), (174, 3), (182, 1), (200, 1), (207, 4), (210, 2), (212, 2), (219, 1), (223, 3), (224, 1), (248, 1), (249, 1), (251, 1), (252, 2), (255, 1), (268, 1), (273, 1), (277, 1), (283, 1), (289, 2), (291, 1), (294, 4), (297, 1), (298, 1), (301, 1), (302, 1), (315, 1), (318, 1), (322, 3), (324, 2), (327, 1), (345, 1), (355, 1), (359, 1), (361, 1), (365, 1), (367, 1), (368, 1), (372, 1), (379, 2), (390, 1), (394, 1), (397, 1), (398, 2), (399, 1), (403, 1), (412, 1), (437, 1), (444, 1), (448, 1), (451, 1), (457, 2), (483, 1), (488, 1), (506, 1), (508, 1), (519, 1), (525, 5), (526, 2), (531, 1), (545, 2), (548, 1), (551, 1), (552, 1), (554, 1), (555, 1), (567, 1), (569, 1), (572, 2), (573, 4), (577, 2), (579, 1), (586, 1), (597, 1), (602, 2), (627, 1), (632, 2), (635, 1)]"
neypantaleaotv,"[(125, 1)]"
igreja,"[(11, 1), (17, 1), (34, 8), (174, 1), (289, 1), (566, 3), (582, 8), (590, 1), (635, 1)]"
subissem,"[(289, 1)]"
bailarinos,"[(384, 1)]"
funks,"[(55, 1)]"
formados,"[(118, 1), (122, 1), (160, 1)]"
atacado,"[(174, 1), (466, 1), (627, 1)]"
economias,"[(488, 1), (585, 1)]"
extraoficial,"[(239, 1)]"
ber,"[(34, 1)]"
californiano,"[(123, 1)]"
crescente,"[(138, 1), (210, 1), (243, 1), (297, 1), (309, 1), (316, 1), (455, 1), (631, 1)]"
supostamente,"[(103, 1), (297, 1), (324, 1), (455, 1), (566, 1), (585, 1), (597, 1)]"
natalino,"[(215, 2)]"
latente,"[(404, 1)]"
irrepreensível,"[(105, 1)]"
mathilde,"[(480, 1)]"
proféticos,"[(208, 1)]"
legendas,"[(623, 1)]"
entulhar,"[(602, 1)]"
ladeado,"[(525, 1), (535, 1)]"
julian,"[(16, 1)]"
melancolicamente,"[(632, 1)]"
abastecimento,"[(609, 2)]"
tabu,"[(118, 3)]"
cúmplice,"[(433, 1)]"
agendamento,"[(118, 1)]"
ecuadorian,"[(16, 1)]"
arbitrariamente,"[(192, 1)]"
enriquecido,"[(61, 1)]"
colocaram,"[(27, 1), (55, 2), (384, 1)]"
dizendo,"[(27, 1), (57, 1), (60, 1), (72, 1), (126, 1), (162, 1), (182, 1), (219, 1), (235, 2), (252, 1), (279, 1), (289, 1), (300, 1), (345, 1), (376, 1), (433, 1), (455, 1), (471, 1), (477, 1), (508, 2), (553, 1), (559, 1), (568, 1), (611, 1), (615, 1), (627, 4)]"
encontrem,"[(550, 1)]"
retrocessos,"[(182, 1), (249, 1), (285, 2), (457, 1), (525, 1), (545, 1)]"
border,"[(587, 1)]"
tijolo,"[(167, 2), (182, 2)]"
encontrei,"[(27, 1), (52, 1), (174, 1), (593, 1)]"
presencia,"[(280, 1), (537, 1)]"
rouanet,"[(162, 1), (278, 3), (459, 2)]"
angélica,"[(393, 2), (543, 2)]"
sdi,"[(76, 2)]"
poderá,"[(13, 1), (61, 8), (62, 1), (118, 1), (122, 1), (137, 1), (304, 1), (368, 2), (375, 1), (379, 1), (505, 1), (525, 1), (545, 1)]"
deixando,"[(132, 1), (201, 1), (207, 1), (270, 1), (294, 1), (327, 1), (376, 1), (397, 1), (458, 1), (496, 1), (568, 1), (577, 1), (615, 1)]"
mudança,"[(57, 1), (80, 1), (127, 1), (158, 1), (194, 1), (207, 1), (210, 2), (237, 2), (243, 4), (252, 10), (295, 3), (304, 1), (322, 1), (367, 1), (418, 1), (505, 1), (573, 1), (585, 1), (593, 1), (632, 1)]"
assegurou,"[(166, 1), (407, 1), (590, 1)]"
necessidade,"[(17, 1), (27, 1), (56, 1), (113, 1), (121, 1), (126, 1), (130, 2), (162, 1), (166, 1), (182, 2), (210, 1), (223, 1), (249, 1), (252, 1), (319, 1), (393, 1), (398, 1), (430, 1), (433, 1), (458, 1), (520, 1), (543, 1), (572, 1)]"
doloroso,"[(27, 1)]"
desenvolvido,"[(76, 1), (82, 1), (289, 1), (336, 1), (525, 1)]"
diplomacia,"[(17, 1), (98, 2), (192, 1), (555, 1), (572, 1)]"
luisa,"[(561, 4), (628, 1)]"
alterna,"[(297, 1)]"
ouviu-se,"[(119, 1)]"
convites,"[(542, 1)]"
concedidas,"[(62, 2)]"
destas,"[(93, 1), (361, 1), (394, 1), (572, 1), (603, 1)]"
visou,"[(121, 1)]"
desdizer,"[(135, 1)]"
falarem,"[(57, 1), (148, 1)]"
bic,"[(302, 1), (315, 1)]"
estardalhaço,"[(602, 1)]"
catolicismo,"[(360, 1)]"
pedaços,"[(60, 1), (76, 1), (105, 1), (128, 1)]"
decano,"[(223, 1)]"
volumosas,"[(99, 1)]"
falha,"[(289, 1)]"
desligou,"[(229, 1)]"
discos,"[(483, 1)]"
jorge,"[(80, 1), (109, 1), (168, 1), (174, 2), (251, 2), (338, 1), (407, 1), (559, 1), (581, 1)]"
explicam,"[(289, 1)]"
pensando,"[(55, 1), (525, 1), (542, 1), (550, 1), (603, 1)]"
conservação,"[(40, 1)]"
explicar,"[(27, 1), (60, 1), (121, 1), (127, 1), (158, 1), (167, 1), (212, 5), (223, 1), (255, 1), (266, 1), (294, 1), (542, 1)]"
ofendem,"[(514, 1)]"
rigor,"[(122, 1), (287, 1)]"
troco,"[(255, 1), (480, 3)]"
minúsculas,"[(394, 1)]"
convencidos,"[(28, 1), (121, 1)]"
rege,"[(73, 1), (219, 1), (424, 1), (429, 1)]"
desenvolveria,"[(51, 1)]"
oposições,"[(51, 1), (138, 1), (488, 1)]"
inconsequência,"[(104, 1)]"
cima,"[(25, 1), (55, 2), (76, 1), (103, 1), (132, 1), (133, 1), (208, 1), (212, 1), (252, 6), (289, 2), (457, 1), (477, 1), (478, 2), (505, 1), (544, 1), (606, 1), (611, 2)]"
escondidos,"[(82, 2), (273, 1)]"
afastou,"[(13, 1), (516, 1), (520, 1), (544, 1)]"
falem,"[(82, 1), (102, 1)]"
observou,"[(294, 1)]"
tralli,"[(400, 1)]"
comunicador,"[(147, 2), (452, 1)]"
ajuizaram,"[(566, 1)]"
militava,"[(248, 1)]"
tornar,"[(3, 1), (62, 1), (118, 1), (126, 1), (130, 1), (201, 1), (207, 1), (304, 1), (355, 1), (404, 1), (508, 1), (531, 1)]"
rpps,"[(273, 1), (308, 1)]"
teniente,"[(280, 1)]"
talk,"[(630, 1)]"
Última,"[(442, 1)]"
indo,"[(55, 2), (127, 1), (252, 1), (633, 1)]"
exceto,"[(289, 1), (294, 1), (394, 1), (480, 1)]"
indi,"[(27, 1)]"
klux,"[(207, 2)]"
gude,"[(237, 1)]"
decradi,"[(581, 1), (628, 1)]"
palhaçada,"[(368, 1), (517, 1)]"
sputinik,"[(134, 1)]"
cálculos,"[(80, 1)]"
constam,"[(72, 1), (592, 1)]"
verbos,"[(224, 1)]"
professora,"[(57, 2), (80, 1), (102, 1), (167, 6), (232, 2), (237, 4), (249, 2), (283, 2), (501, 1)]"
desobediência,"[(635, 1)]"
sintonizado,"[(302, 1)]"
paranaenses,"[(457, 1)]"
confirmou,"[(81, 1), (207, 1), (219, 1), (506, 2), (514, 1), (627, 1), (635, 1)]"
aditamento,"[(40, 1)]"
passo,"[(13, 1), (64, 1), (82, 1), (236, 1), (406, 1), (429, 2), (492, 1), (545, 1), (623, 1)]"
passe,"[(57, 1), (88, 1), (205, 1)]"
escuro,"[(403, 1), (409, 1)]"
passa,"[(11, 1), (59, 1), (76, 1), (127, 1), (133, 1), (134, 1), (147, 1), (239, 1), (251, 1), (278, 1), (283, 1), (289, 1), (297, 1), (319, 1), (354, 1), (445, 1), (505, 1), (549, 1), (568, 1), (579, 1), (603, 2), (627, 1)]"
puxa,"[(268, 1), (552, 1)]"
submeteram,"[(76, 1)]"
pertencia,"[(62, 1), (103, 3), (219, 1), (627, 1)]"
multipartidarismo,"[(179, 1)]"
atuar,"[(10, 1), (179, 1), (212, 1), (229, 1), (249, 1), (283, 1)]"
irritação,"[(28, 1), (552, 1)]"
raso,"[(256, 1), (486, 1)]"
tiro,"[(55, 4), (71, 1), (95, 1), (229, 1), (249, 1), (282, 1), (324, 1), (379, 1), (415, 1), (457, 1), (477, 4), (508, 2), (544, 1), (597, 1), (627, 1)]"
basem,"[(15, 4)]"
desembolsar,"[(56, 1)]"
chapecoense,"[(519, 1)]"
regida,"[(418, 1)]"
arrisca-se,"[(108, 1)]"
perdidos,"[(223, 1), (291, 1)]"
bases,"[(25, 1), (57, 2), (91, 1), (236, 1), (568, 1)]"
treinamento,"[(130, 6), (160, 1), (229, 4), (249, 1), (294, 1), (338, 1), (477, 1), (583, 1)]"
farinha,"[(76, 1), (162, 1)]"
atual,"[(3, 1), (19, 1), (25, 1), (30, 1), (34, 1), (37, 1), (57, 1), (76, 1), (82, 1), (91, 1), (99, 4), (104, 1), (108, 1), (121, 1), (122, 1), (124, 1), (137, 1), (138, 3), (145, 1), (147, 1), (158, 1), (162, 2), (166, 1), (167, 1), (179, 1), (187, 1), (208, 3), (210, 2), (212, 1), (229, 3), (232, 1), (243, 1), (248, 1), (251, 1), (252, 2), (260, 1), (276, 1), (282, 3), (285, 2), (309, 1), (316, 1), (324, 1), (331, 1), (367, 1), (368, 1), (372, 1), (376, 3), (394, 1), (404, 1), (410, 1), (429, 1), (433, 1), (448, 1), (449, 1), (454, 1), (457, 2), (465, 4), (470, 3), (514, 1), (520, 1), (542, 1), (551, 1), (573, 1), (575, 1), (579, 1), (586, 1)]"
atuam,"[(76, 1), (237, 1), (239, 1), (568, 1)]"
